U_B / V	U_A / V	S_1
0.00	-0.07	1
0.00	-0.07	1
0.00	-0.07	1
0.00	-0.07	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.15	-0.07	1
0.30	-0.08	1
0.40	-0.07	1
0.60	-0.07	1
0.70	-0.07	1
0.85	-0.07	1
1.05	-0.07	1
1.15	-0.07	1
1.30	-0.07	1
1.45	-0.08	1
1.55	-0.07	1
1.70	-0.08	1
1.85	-0.07	1
2.00	-0.08	1
2.15	-0.07	1
2.30	-0.08	1
2.45	-0.07	1
2.55	-0.07	1
2.75	-0.08	1
2.90	-0.08	1
3.00	-0.08	1
3.15	-0.08	1
3.30	-0.08	1
3.45	-0.08	1
3.55	-0.08	1
3.75	-0.08	1
3.85	-0.08	1
4.00	-0.08	1
4.15	-0.08	1
4.30	-0.07	1
4.45	-0.07	1
4.60	-0.07	1
4.75	-0.07	1
4.85	-0.06	1
5.05	-0.06	1
5.15	-0.06	1
5.30	-0.05	1
5.45	-0.04	1
5.55	-0.04	1
5.70	-0.03	1
5.85	-0.02	1
6.00	-0.01	1
6.15	0.00	1
6.30	0.02	1
6.45	0.03	1
6.60	0.04	1
6.75	0.04	1
6.90	0.05	1
7.00	0.04	1
7.15	0.05	1
7.30	0.04	1
7.45	0.04	1
7.60	0.03	1
7.75	0.03	1
7.90	0.02	1
8.00	0.02	1
8.20	0.01	1
8.30	0.00	1
8.45	0.00	1
8.60	-0.01	1
8.70	-0.01	1
8.85	-0.01	1
9.00	-0.01	1
9.15	-0.01	1
9.30	0.00	1
9.45	0.01	1
9.60	0.02	1
9.75	0.03	1
9.90	0.06	1
10.00	0.08	1
10.15	0.11	1
10.30	0.13	1
10.45	0.17	1
10.60	0.21	1
10.70	0.25	1
10.90	0.30	1
11.05	0.36	1
11.15	0.40	1
11.30	0.44	1
11.45	0.45	1
11.60	0.44	1
11.75	0.41	1
11.90	0.38	1
12.05	0.34	1
12.15	0.30	1
12.30	0.26	1
12.45	0.23	1
12.60	0.18	1
12.75	0.15	1
12.90	0.12	1
13.05	0.09	1
13.15	0.07	1
13.30	0.06	1
13.50	0.05	1
13.60	0.05	1
13.75	0.06	1
13.90	0.08	1
14.05	0.09	1
14.15	0.12	1
14.30	0.17	1
14.45	0.22	1
14.60	0.27	1
14.75	0.34	1
14.90	0.41	1
15.05	0.50	1
15.20	0.60	1
15.30	0.69	1
15.50	0.81	1
15.60	0.90	1
15.75	1.04	1
15.90	1.15	1
16.05	1.25	1
16.20	1.31	1
16.30	1.31	1
16.45	1.23	1
16.60	1.12	1
16.75	0.98	1
16.90	0.84	1
17.00	0.73	1
17.20	0.60	1
17.30	0.50	1
17.45	0.41	1
17.60	0.32	1
17.75	0.25	1
17.90	0.19	1
18.05	0.16	1
18.20	0.13	1
18.30	0.13	1
18.45	0.14	1
18.60	0.18	1
18.75	0.21	1
18.90	0.28	1
19.05	0.34	1
19.20	0.45	1
19.35	0.55	1
19.50	0.65	1
19.65	0.80	1
19.75	0.94	1
19.90	1.11	1
20.05	1.27	1
20.20	1.48	1
20.35	1.71	1
20.50	1.92	1
20.65	2.17	1
20.75	2.35	1
20.90	2.54	1
21.10	2.62	1
