U_B / V	U_A / V	S_1
0.00	-0.09	1
0.05	-0.09	1
0.00	-0.09	1
0.00	-0.09	1
0.05	-0.09	1
0.05	-0.09	1
0.00	-0.09	1
0.05	-0.09	1
0.20	-0.09	1
0.35	-0.09	1
0.50	-0.09	1
0.60	-0.09	1
0.75	-0.09	1
0.90	-0.09	1
1.05	-0.09	1
1.20	-0.09	1
1.35	-0.09	1
1.45	-0.09	1
1.60	-0.09	1
1.75	-0.09	1
1.90	-0.09	1
2.05	-0.09	1
2.20	-0.09	1
2.35	-0.09	1
2.50	-0.09	1
2.65	-0.09	1
2.75	-0.09	1
2.90	-0.09	1
3.05	-0.09	1
3.15	-0.09	1
3.30	-0.09	1
3.45	-0.08	1
3.60	-0.09	1
3.75	-0.09	1
3.90	-0.09	1
4.05	-0.09	1
4.15	-0.09	1
4.30	-0.08	1
4.45	-0.09	1
4.60	-0.09	1
4.75	-0.09	1
4.90	-0.09	1
5.05	-0.09	1
5.20	-0.08	1
5.35	-0.08	1
5.50	-0.08	1
5.60	-0.08	1
5.75	-0.08	1
5.90	-0.08	1
6.05	-0.07	1
6.20	-0.07	1
6.30	-0.06	1
6.50	-0.06	1
6.60	-0.06	1
6.75	-0.05	1
6.90	-0.05	1
7.05	-0.04	1
7.20	-0.04	1
7.35	-0.03	1
7.50	-0.03	1
7.60	-0.03	1
7.75	-0.03	1
7.95	-0.03	1
8.10	-0.03	1
8.20	-0.03	1
8.35	-0.03	1
8.50	-0.03	1
8.65	-0.03	1
8.80	-0.03	1
8.95	-0.03	1
9.05	-0.03	1
9.20	-0.03	1
9.35	-0.03	1
9.50	-0.03	1
9.65	-0.03	1
9.75	-0.03	1
9.90	-0.02	1
10.05	-0.02	1
10.20	-0.01	1
10.35	-0.01	1
10.50	0.01	1
10.65	0.02	1
10.75	0.03	1
10.90	0.04	1
11.05	0.06	1
11.20	0.07	1
11.35	0.09	1
11.50	0.11	1
11.60	0.12	1
11.75	0.13	1
11.90	0.14	1
12.05	0.14	1
12.20	0.13	1
12.35	0.13	1
12.50	0.12	1
12.65	0.11	1
12.75	0.10	1
12.95	0.09	1
13.10	0.08	1
13.20	0.06	1
13.35	0.06	1
13.50	0.04	1
13.65	0.04	1
13.80	0.03	1
13.90	0.03	1
14.10	0.03	1
14.20	0.04	1
14.35	0.05	1
14.55	0.05	1
14.65	0.07	1
14.80	0.09	1
14.95	0.10	1
15.10	0.13	1
15.25	0.16	1
15.35	0.19	1
15.50	0.23	1
15.65	0.27	1
15.80	0.32	1
15.90	0.36	1
16.10	0.42	1
16.25	0.47	1
16.40	0.51	1
16.55	0.53	1
16.65	0.55	1
16.80	0.53	1
16.95	0.52	1
17.10	0.48	1
17.25	0.45	1
17.35	0.41	1
17.50	0.36	1
17.65	0.31	1
17.80	0.27	1
17.95	0.23	1
18.10	0.20	1
18.25	0.16	1
18.35	0.14	1
18.50	0.12	1
18.65	0.13	1
18.80	0.12	1
18.95	0.13	1
19.05	0.14	1
19.20	0.17	1
19.35	0.20	1
19.50	0.24	1
19.65	0.29	1
19.80	0.34	1
19.95	0.40	1
20.10	0.46	1
20.25	0.55	1
20.40	0.61	1
20.55	0.69	1
20.70	0.79	1
20.80	0.89	1
20.95	0.99	1
21.10	1.08	1
21.25	1.17	1
21.40	1.23	1
21.55	1.24	1
21.70	1.22	1
21.80	1.15	1
21.95	1.07	1
22.15	0.94	1
22.25	0.86	1
22.40	0.75	1
22.55	0.64	1
22.70	0.53	1
22.80	0.46	1
22.95	0.39	1
23.10	0.32	1
23.25	0.29	1
23.40	0.27	1
23.50	0.26	1
23.70	0.28	1
23.85	0.30	1
23.95	0.34	1
24.10	0.39	1
24.20	0.45	1
24.40	0.53	1
24.55	0.62	1
24.65	0.71	1
24.80	0.82	1
24.95	0.93	1
25.10	1.08	1
25.25	1.19	1
25.40	1.36	1
25.55	1.52	1
25.70	1.67	1
25.85	1.84	1
25.95	1.97	1
26.15	2.13	1
26.25	2.24	1
26.40	2.30	1
26.55	2.29	1
26.65	2.23	1
26.80	1.97	1
26.95	1.88	1
27.10	1.73	1
27.25	1.50	1
27.40	1.25	1
27.55	1.06	1
27.70	0.97	1
27.85	0.82	1
28.00	0.71	1
28.10	0.65	1
28.25	0.59	1
28.40	0.59	1
28.55	0.60	1
28.65	0.63	1
28.80	0.69	1
28.95	0.78	1
29.10	0.88	1
29.25	1.01	1
29.40	1.12	1
29.55	1.27	1
29.70	1.44	1
29.70	1.48	1
29.70	1.48	1
29.70	1.48	1
29.70	1.47	1
29.70	1.47	1
29.70	1.46	1
29.70	1.47	1
29.70	1.46	1
29.70	1.45	1
29.70	1.46	1
29.70	1.45	1
29.70	1.44	1
29.70	1.44	1
29.70	1.46	1
29.70	1.46	1
29.70	1.45	1
29.70	1.45	1
29.70	1.45	1
29.70	1.46	1
29.70	1.46	1
29.70	1.46	1
29.70	1.45	1
29.70	1.45	1
29.70	1.43	1
29.70	1.44	1
29.70	1.44	1
29.70	1.43	1
29.70	1.44	1
29.70	1.43	1
29.70	1.43	1
29.70	1.43	1
29.70	1.44	1
29.70	1.43	1
29.70	1.45	1
29.70	1.44	1
29.70	1.43	1
29.70	1.42	1
29.70	1.43	1
