U_B / V	U_A / V	S_1
29.75	1.73	1
29.75	1.73	1
29.75	1.73	1
29.75	1.72	1
29.75	1.72	1
29.75	1.72	1
29.70	1.71	1
29.70	1.71	1
29.70	1.71	1
29.70	1.71	1
29.70	1.72	1
29.75	1.72	1
29.70	1.74	1
29.70	1.74	1
29.70	1.73	1
29.70	1.73	1
29.70	1.73	1
29.70	1.73	1
29.70	1.73	1
29.70	1.73	1
29.70	1.72	1
29.70	1.73	1
29.70	1.72	1
29.70	1.72	1
29.70	1.72	1
29.70	1.72	1
29.70	1.73	1
29.70	1.73	1
29.70	1.74	1
29.70	1.73	1
29.70	1.73	1
29.70	1.73	1
29.70	1.73	1
29.75	1.73	1
29.75	1.73	1
29.70	1.73	1
29.70	1.72	1
29.70	1.73	1
29.70	1.72	1
29.75	1.72	1
29.75	1.72	1
29.75	1.72	1
29.75	1.73	1
29.75	1.74	1
29.75	1.74	1
29.75	1.74	1
29.75	1.74	1
29.75	1.73	1
29.75	1.73	1
29.75	1.72	1
29.70	1.73	1
29.75	1.73	1
29.70	1.73	1
29.75	1.73	1
29.75	1.72	1
29.70	1.73	1
29.75	1.72	1
29.70	1.73	1
29.75	1.73	1
29.70	1.74	1
29.70	1.74	1
29.70	1.74	1
29.70	1.73	1
29.70	1.74	1
29.70	1.72	1
29.70	1.72	1
29.70	1.72	1
29.70	1.73	1
29.70	1.72	1
29.70	1.73	1
29.75	1.72	1
29.70	1.74	1
29.75	1.73	1
29.70	1.73	1
29.75	1.73	1
29.75	1.74	1
29.75	1.74	1
29.75	1.74	1
29.75	1.74	1
29.75	1.72	1
29.75	1.72	1
29.70	1.72	1
29.75	1.72	1
29.75	1.73	1
