U_B / V	U_A / V	S_1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.00	-0.08	1
0.00	-0.07	1
0.15	-0.08	1
0.35	-0.07	1
0.45	-0.07	1
0.60	-0.07	1
0.70	-0.07	1
0.85	-0.07	1
1.05	-0.07	1
1.15	-0.06	1
1.35	-0.07	1
1.45	-0.07	1
1.60	-0.07	1
1.75	-0.07	1
1.90	-0.08	1
2.05	-0.07	1
2.20	-0.07	1
2.35	-0.07	1
2.45	-0.07	1
2.60	-0.07	1
2.75	-0.07	1
2.90	-0.07	1
3.05	-0.07	1
3.15	-0.08	1
3.30	-0.07	1
3.45	-0.08	1
3.60	-0.07	1
3.75	-0.08	1
3.90	-0.07	1
4.05	-0.08	1
4.15	-0.07	1
4.35	-0.08	1
4.50	-0.07	1
4.60	-0.08	1
4.75	-0.07	1
4.85	-0.08	1
5.05	-0.07	1
5.20	-0.07	1
5.30	-0.07	1
5.45	-0.07	1
5.60	-0.06	1
5.75	-0.07	1
5.90	-0.05	1
6.00	-0.06	1
6.20	-0.04	1
6.30	-0.05	1
6.45	-0.03	1
6.55	-0.03	1
6.75	-0.01	1
6.90	-0.02	1
7.00	-0.01	1
7.20	-0.02	1
7.30	0.00	1
7.45	-0.01	1
7.60	-0.01	1
7.75	-0.01	1
7.90	-0.01	1
8.05	-0.02	1
8.15	-0.01	1
8.30	-0.02	1
8.45	-0.02	1
8.60	-0.03	1
8.75	-0.02	1
8.90	-0.03	1
9.05	-0.03	1
9.20	-0.04	1
9.35	-0.04	1
9.50	-0.04	1
9.60	-0.04	1
9.75	-0.04	1
9.90	-0.04	1
10.05	-0.03	1
10.20	-0.03	1
10.35	-0.01	1
10.45	0.00	1
10.60	0.02	1
10.75	0.04	1
10.90	0.07	1
11.05	0.10	1
11.20	0.13	1
11.35	0.16	1
11.45	0.20	1
11.60	0.23	1
11.75	0.26	1
11.90	0.26	1
12.05	0.27	1
12.15	0.24	1
12.30	0.23	1
12.45	0.21	1
12.60	0.19	1
12.75	0.16	1
12.90	0.14	1
13.05	0.12	1
13.20	0.10	1
13.35	0.07	1
13.50	0.06	1
13.60	0.04	1
13.75	0.03	1
13.90	0.01	1
14.05	0.01	1
14.20	-0.01	1
14.35	0.00	1
14.50	0.00	1
14.60	0.01	1
14.80	0.03	1
14.95	0.05	1
15.05	0.08	1
15.20	0.12	1
15.35	0.16	1
15.50	0.22	1
15.60	0.28	1
15.75	0.35	1
15.90	0.43	1
16.05	0.52	1
16.20	0.64	1
16.35	0.73	1
16.50	0.85	1
16.60	0.92	1
16.75	1.02	1
16.95	1.04	1
17.05	1.04	1
17.20	0.94	1
17.30	0.87	1
17.50	0.78	1
17.60	0.61	1
17.75	0.47	1
17.90	0.43	1
18.05	0.30	1
18.20	0.22	1
18.35	0.21	1
18.50	0.18	1
18.65	0.13	1
18.80	0.11	1
18.95	0.03	1
19.05	0.02	1
19.20	0.04	1
19.35	0.07	1
19.50	0.09	1
19.65	0.13	1
19.80	0.18	1
19.95	0.26	1
20.05	0.34	1
20.20	0.44	1
20.40	0.56	1
20.50	0.69	1
20.65	0.85	1
20.75	1.00	1
20.90	1.20	1
21.10	1.41	1
21.20	1.59	1
21.35	1.77	1
21.50	1.86	1
21.65	1.90	1
21.80	1.80	1
21.95	1.70	1
22.10	1.57	1
22.20	1.38	1
22.35	1.17	1
22.50	1.01	1
22.65	0.83	1
22.80	0.69	1
22.90	0.55	1
23.05	0.50	1
23.20	0.36	1
23.35	0.26	1
23.50	0.19	1
23.65	0.14	1
23.80	0.12	1
23.95	0.10	1
24.10	0.12	1
24.20	0.14	1
24.40	0.20	1
24.55	0.27	1
24.65	0.37	1
24.80	0.49	1
24.95	0.64	1
25.10	0.82	1
25.20	1.00	1
25.40	1.25	1
25.55	1.52	1
25.65	1.75	1
25.80	2.05	1
25.95	2.30	1
26.10	2.67	1
26.25	3.01	1
26.35	3.30	1
26.50	3.54	1
26.65	3.68	1
26.80	3.65	1
27.00	3.61	1
27.10	3.11	1
27.25	2.66	1
27.35	2.46	1
27.50	2.30	1
27.65	2.07	1
27.80	1.73	1
27.95	1.52	1
28.10	1.23	1
28.25	1.02	1
28.35	0.81	1
28.50	0.68	1
28.65	0.55	1
28.80	0.47	1
28.95	0.44	1
29.05	0.46	1
29.25	0.47	1
29.35	0.54	1
29.50	0.65	1
29.65	0.83	1
29.70	0.91	1
29.70	0.91	1
29.70	0.91	1
29.70	0.91	1
29.70	0.90	1
29.70	0.91	1
29.70	0.91	1
29.70	0.92	1
29.70	0.90	1
29.70	0.90	1
29.70	0.89	1
29.70	0.90	1
29.70	0.89	1
29.70	0.91	1
29.70	0.89	1
29.70	0.90	1
29.70	0.90	1
29.70	0.92	1
29.75	0.91	1
29.70	0.91	1
29.70	0.90	1
29.70	0.91	1
29.70	0.89	1
29.70	0.90	1
29.75	0.90	1
29.70	0.89	1
29.70	0.90	1
29.70	0.90	1
29.70	0.89	1
29.70	0.91	1
29.70	0.89	1
29.70	0.89	1
29.70	0.88	1
29.70	0.88	1
29.70	0.86	1
29.70	0.86	1
29.70	0.87	1
29.70	0.87	1
29.70	0.87	1
29.70	0.86	1
29.70	0.86	1
29.70	0.86	1
29.70	0.87	1
29.70	0.85	1
