U_B / V	U_A / V	S_1
0.00	-0.09	1
0.00	-0.08	1
0.00	-0.08	1
0.00	-0.08	1
0.00	-0.08	1
0.00	-0.08	1
0.10	-0.08	1
0.25	-0.08	1
0.40	-0.08	1
0.55	-0.08	1
0.70	-0.09	1
0.80	-0.09	1
0.95	-0.09	1
1.10	-0.08	1
1.25	-0.09	1
1.40	-0.08	1
1.50	-0.09	1
1.70	-0.08	1
1.80	-0.09	1
1.95	-0.08	1
2.10	-0.09	1
2.25	-0.08	1
2.40	-0.09	1
2.55	-0.08	1
2.70	-0.09	1
2.85	-0.08	1
2.95	-0.08	1
3.10	-0.08	1
3.25	-0.08	1
3.40	-0.08	1
3.50	-0.08	1
3.65	-0.08	1
3.80	-0.08	1
3.95	-0.08	1
4.10	-0.08	1
4.25	-0.08	1
4.40	-0.08	1
4.55	-0.07	1
4.70	-0.08	1
4.85	-0.07	1
4.95	-0.07	1
5.10	-0.07	1
5.25	-0.06	1
5.40	-0.06	1
5.50	-0.06	1
5.70	-0.05	1
5.85	-0.04	1
5.95	-0.04	1
6.10	-0.03	1
6.25	-0.03	1
6.40	-0.01	1
6.55	-0.01	1
6.65	0.00	1
6.80	0.00	1
6.95	0.01	1
7.10	0.01	1
7.25	0.02	1
7.40	0.01	1
7.55	0.02	1
7.70	0.01	1
7.85	0.01	1
7.95	0.01	1
8.15	0.01	1
8.30	0.00	1
8.40	0.00	1
8.55	-0.01	1
8.65	-0.01	1
8.80	-0.01	1
9.00	-0.01	1
9.10	-0.01	1
9.25	0.00	1
9.40	0.00	1
9.55	0.00	1
9.70	0.01	1
9.85	0.02	1
10.00	0.04	1
10.15	0.05	1
10.30	0.06	1
10.40	0.08	1
10.55	0.10	1
10.70	0.14	1
10.80	0.16	1
10.95	0.20	1
11.10	0.23	1
11.25	0.27	1
11.40	0.30	1
11.55	0.32	1
11.70	0.33	1
11.80	0.32	1
11.95	0.31	1
12.05	0.29	1
12.25	0.27	1
12.40	0.24	1
12.50	0.22	1
12.70	0.19	1
12.80	0.16	1
12.95	0.13	1
13.10	0.12	1
13.25	0.09	1
13.40	0.09	1
13.55	0.08	1
13.70	0.08	1
13.85	0.07	1
13.95	0.08	1
14.10	0.09	1
14.25	0.11	1
14.40	0.14	1
14.55	0.17	1
14.70	0.21	1
14.85	0.26	1
15.00	0.30	1
15.15	0.35	1
15.25	0.40	1
15.40	0.48	1
15.50	0.55	1
15.70	0.64	1
15.85	0.73	1
15.95	0.82	1
16.10	0.92	1
16.25	0.99	1
16.40	1.06	1
16.55	1.08	1
16.70	1.05	1
16.85	0.97	1
17.00	0.89	1
17.15	0.79	1
17.25	0.70	1
17.40	0.61	1
17.55	0.51	1
17.70	0.44	1
17.85	0.37	1
17.95	0.30	1
18.15	0.25	1
18.30	0.22	1
18.40	0.21	1
18.55	0.21	1
18.70	0.22	1
18.85	0.25	1
19.00	0.29	1
19.15	0.33	1
19.30	0.39	1
19.45	0.45	1
19.55	0.55	1
19.70	0.63	1
19.85	0.75	1
20.00	0.87	1
20.15	0.98	1
20.30	1.13	1
20.45	1.26	1
20.60	1.42	1
20.75	1.59	1
20.85	1.73	1
21.05	1.93	1
21.15	2.07	1
21.30	2.24	1
21.40	2.31	1
21.55	2.36	1
21.70	2.26	1
21.85	2.08	1
22.00	1.84	1
22.15	1.60	1
22.30	1.37	1
22.45	1.18	1
22.60	1.02	1
22.75	0.85	1
22.85	0.76	1
23.05	0.64	1
23.15	0.56	1
23.25	0.53	1
23.45	0.52	1
23.55	0.52	1
23.70	0.56	1
23.85	0.61	1
24.00	0.70	1
24.15	0.83	1
24.30	0.94	1
24.45	1.10	1
24.60	1.24	1
24.75	1.41	1
24.85	1.60	1
25.00	1.78	1
25.15	2.02	1
25.30	2.23	1
25.45	2.51	1
25.60	2.75	1
25.75	3.06	1
25.90	3.37	1
26.05	3.62	1
26.20	3.89	1
26.30	4.02	1
26.45	4.12	1
26.60	4.01	1
26.70	3.80	1
26.85	3.53	1
27.00	3.24	1
27.15	2.84	1
27.30	2.56	1
27.45	2.19	1
27.60	1.85	1
27.75	1.61	1
27.90	1.39	1
28.00	1.20	1
28.15	1.07	1
28.30	1.04	1
28.45	1.01	1
28.60	1.07	1
28.70	1.12	1
28.85	1.25	1
29.00	1.41	1
29.15	1.57	1
29.30	1.81	1
29.45	2.00	1
29.60	2.24	1
29.70	2.50	1
29.70	2.50	1
29.70	2.50	1
29.70	2.48	1
29.70	2.50	1
29.70	2.49	1
29.70	2.48	1
29.70	2.47	1
29.70	2.48	1
29.70	2.48	1
29.70	2.47	1
29.70	2.49	1
