U_B / V	U_A / V	S_1
0.00	-0.09	1
0.00	-0.08	1
0.00	-0.09	1
0.00	-0.08	1
0.00	-0.09	1
0.00	-0.08	1
0.00	-0.09	1
0.00	-0.09	1
0.15	-0.09	1
0.30	-0.08	1
0.45	-0.09	1
0.60	-0.08	1
0.70	-0.09	1
0.85	-0.08	1
1.05	-0.09	1
1.15	-0.09	1
1.30	-0.09	1
1.40	-0.09	1
1.55	-0.09	1
1.75	-0.09	1
1.85	-0.09	1
2.00	-0.10	1
2.15	-0.09	1
2.30	-0.10	1
2.40	-0.09	1
2.60	-0.10	1
2.75	-0.08	1
2.85	-0.09	1
3.00	-0.08	1
3.15	-0.10	1
3.25	-0.08	1
3.45	-0.10	1
3.55	-0.08	1
3.70	-0.10	1
3.85	-0.08	1
4.00	-0.09	1
4.15	-0.08	1
4.30	-0.09	1
4.45	-0.08	1
4.60	-0.09	1
4.75	-0.08	1
4.85	-0.09	1
5.00	-0.08	1
5.15	-0.09	1
5.30	-0.08	1
5.45	-0.08	1
5.55	-0.08	1
5.70	-0.09	1
5.85	-0.08	1
6.00	-0.09	1
6.15	-0.08	1
6.30	-0.08	1
6.45	-0.08	1
6.60	-0.08	1
6.75	-0.08	1
6.90	-0.08	1
7.00	-0.08	1
7.15	-0.07	1
7.30	-0.08	1
7.45	-0.07	1
7.60	-0.08	1
7.75	-0.07	1
7.90	-0.08	1
8.00	-0.07	1
8.20	-0.08	1
8.30	-0.07	1
8.45	-0.08	1
8.60	-0.08	1
8.75	-0.09	1
8.90	-0.08	1
9.00	-0.09	1
9.15	-0.08	1
9.35	-0.09	1
9.45	-0.08	1
9.60	-0.09	1
9.75	-0.07	1
9.90	-0.09	1
10.05	-0.07	1
10.20	-0.08	1
10.35	-0.06	1
10.45	-0.06	1
10.60	-0.05	1
10.70	-0.04	1
10.85	-0.02	1
11.05	0.00	1
11.15	0.03	1
11.30	0.05	1
11.45	0.07	1
11.60	0.08	1
11.70	0.09	1
11.90	0.08	1
12.05	0.07	1
12.15	0.06	1
12.30	0.05	1
12.45	0.03	1
12.60	0.02	1
12.75	0.01	1
12.90	-0.01	1
13.05	-0.01	1
13.15	-0.03	1
13.30	-0.03	1
13.50	-0.04	1
13.60	-0.04	1
13.75	-0.05	1
13.90	-0.05	1
14.05	-0.06	1
14.15	-0.06	1
14.30	-0.07	1
14.45	-0.07	1
14.60	-0.08	1
14.75	-0.06	1
14.90	-0.07	1
15.05	-0.04	1
15.20	-0.03	1
15.30	0.01	1
15.50	0.04	1
15.60	0.08	1
15.75	0.12	1
15.90	0.20	1
16.05	0.25	1
16.20	0.34	1
16.30	0.39	1
16.45	0.45	1
16.60	0.45	1
16.75	0.45	1
16.90	0.41	1
17.05	0.37	1
17.20	0.31	1
17.30	0.29	1
17.50	0.22	1
17.60	0.19	1
17.75	0.14	1
17.95	0.10	1
18.05	0.07	1
18.20	0.05	1
18.30	0.02	1
18.45	0.01	1
18.65	-0.02	1
18.75	-0.03	1
18.90	-0.04	1
19.05	-0.04	1
19.20	-0.05	1
19.35	-0.05	1
19.50	-0.05	1
19.60	-0.04	1
19.75	-0.02	1
19.90	0.01	1
20.05	0.06	1
20.20	0.12	1
20.35	0.20	1
20.50	0.28	1
20.65	0.40	1
20.75	0.50	1
20.90	0.65	1
21.10	0.81	1
21.20	0.93	1
21.35	1.06	1
21.50	1.16	1
21.60	1.18	1
21.80	1.17	1
21.90	1.08	1
22.05	1.00	1
22.20	0.86	1
22.35	0.74	1
22.50	0.62	1
22.65	0.53	1
22.80	0.40	1
22.90	0.33	1
23.10	0.24	1
23.20	0.19	1
23.35	0.11	1
23.50	0.09	1
23.60	0.05	1
23.80	0.04	1
23.90	0.00	1
24.05	0.00	1
24.20	-0.01	1
24.35	0.00	1
24.50	0.02	1
24.65	0.05	1
24.80	0.10	1
24.95	0.17	1
25.10	0.26	1
25.20	0.40	1
25.35	0.52	1
25.50	0.72	1
25.65	0.89	1
25.80	1.12	1
25.95	1.35	1
26.10	1.62	1
26.25	1.89	1
26.35	2.10	1
26.50	2.31	1
26.65	2.36	1
26.80	2.42	1
26.95	2.45	1
27.05	2.17	1
27.20	1.88	1
27.35	1.80	1
27.50	1.48	1
27.65	1.26	1
27.80	1.01	1
27.95	0.86	1
28.10	0.70	1
28.25	0.55	1
28.35	0.42	1
28.50	0.31	1
28.65	0.22	1
28.80	0.18	1
28.95	0.13	1
29.05	0.11	1
29.20	0.09	1
29.35	0.11	1
29.50	0.14	1
29.65	0.22	1
29.70	0.26	1
29.70	0.27	1
29.70	0.25	1
29.70	0.26	1
29.70	0.25	1
29.70	0.26	1
29.70	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.70	0.25	1
29.75	0.24	1
29.75	0.24	1
29.75	0.24	1
29.75	0.25	1
29.75	0.24	1
29.75	0.25	1
29.75	0.24	1
29.75	0.24	1
29.75	0.24	1
29.75	0.25	1
29.75	0.24	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.24	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.25	1
29.75	0.24	1
29.70	0.26	1
29.75	0.24	1
29.75	0.26	1
29.70	0.25	1
29.70	0.26	1
29.70	0.26	1
29.70	0.26	1
