# Strom [A] ; Magnetfeld [mT]
# 
0.10;-1
0.56;-42
0.97;-82
1.44;-130
1.99;-185
2.32;-218
2.59;-245
3.12;-299
3.53;-338
3.80;-363
4.02;-383
4.69;-439
5.14;-471
5.36;-484
5.84;-511
6.30;-530
6.74;-546
7.09;-557
7.43;-567
7.89;-580
8.24;-589
8.59;-597
8.79;-601
-0.66;79
-0.83;98
-1.00;117
-1.43;160
-1.99;218
-2.36;254
-2.73;290
-3.19;336
-3.61;377
-4.09;422
-4.63;467
-5.07;500
-5.59;530
-6.01;551
-6.34;564
-6.84;582
-7.31;598
-7.86;614
-8.38;628
-8.57;632
-8.56;632
