# f/Hz RMS_in/V RMS_out/V
2	7.51	0.207
5	7.49	0.205
8	7.5 0.208
20	7.46	0.204
50	7.44	0.205
80	7.4	0.209
200	7.12	0.347
500	7.4	1.9
800	7.48	4
2000	7.11	7.22
5000	7.47	7.27
8000	7.46	6.3
20000	7.43	1.79
50000	7.42	0.344
80000	7.41	0.232
200000	7.33	0.204
500000	7.27	0.273
800000	7.13	0.910
2000000	7.42	0.450
5000000	7.75	0.205
8000000	7.99	0.209
10000000	6.7	0.205
